Variables;MILP Feasible;result
X_3_4_15;0;0
X_4_1_15;0;0
X_4_2_15;0;0
X_4_3_15;0;0
X_4_4_15;0;0
X_5_1_15;0;0
X_5_2_15;0;0
X_5_3_15;0;0
X_5_4_15;0;0
X_6_1_15;0;0
X_6_2_15;0;0
X_6_3_15;0;0
X_6_4_15;0;0
X_7_1_15;0;0
X_7_2_15;0;0
X_7_3_15;0;0
X_7_4_15;0;0
X_8_1_15;0;0
X_8_2_15;0;0
X_8_3_15;0;0
X_8_4_15;0;0
X_9_1_15;0;0
X_9_2_15;0;0
X_9_3_15;0;0
X_9_4_15;0;0
X_10_1_15;0;0
X_10_2_15;0;0
X_10_3_15;0;0
X_1_1_16;0;0
X_1_2_16;0;0
X_1_3_16;0;0
X_1_4_16;0;0
X_2_1_16;0;0
X_2_2_16;0;0
X_2_3_16;0;0
X_2_4_16;0;0
X_3_1_16;0;0
X_3_2_16;0;0
X_3_3_16;0;0
X_3_4_16;0;0
X_4_1_16;0;0
X_4_2_16;0;0
X_4_3_16;0;0
X_4_4_16;0;0
X_5_1_16;0;0
X_5_2_16;0;0
X_5_3_16;0;0
X_5_4_16;0;0
X_6_1_16;0;0
X_6_2_16;0;0
X_6_3_16;0;0
X_6_4_16;0;0
X_7_1_16;0;0
X_7_2_16;0;0
X_7_3_16;0;0
X_7_4_16;0;0
X_8_1_16;0;0
X_8_2_16;0;0
X_8_3_16;0;0
X_8_4_16;0;0
X_9_1_16;0;0
X_9_2_16;0;0
X_9_4_16;0;0
X_10_1_16;0;0
X_10_2_16;0;0
X_10_3_16;0;0
X_10_4_16;0;0
X_1_1;0;0
X_1_2;0;0
X_1_3;0;0
X_1_4;0;0
X_2_1;0;0
X_2_2;0;0
X_2_3;0;0
X_2_4;0;0
X_3_1;0;0
X_3_2;0;0
X_3_3;0;0
X_3_4;0;0
X_4_1;0;0
X_4_2;0;0
X_4_3;0;0
X_4_4;0;0
X_5_1;0;0
X_5_2;0;0
X_5_3;0;0
X_5_4;0;0
X_7_1;0;0
X_7_2;0;0
X_7_3;0;0
X_7_4;0;0
X_8_1;0;0
X_8_2;0;0
X_8_3;0;0
X_8_4;0;0
X_9_4;0;0
X_10_1;0;0
X_10_2;0;0
X_10_3;0;0
